"","Year","All.Ages..Rate.","Under.5","X5.14.years","X15.49.years","X50.69.years","X70..years"
"1",1990,11625697.90084,31453690.45683,2701427.535865,5774205.2378,16201708.36518,31905039.32397
"2",1991,11487115.46203,30671792.98137,2661063.186639,5803194.07943,16190339.32871,31825095.11096
"3",1992,11341368.2757,29769738.4441,2615935.815418,5867648.27144,16160413.41611,31667798.56718
"4",1993,11282074.58227,29065114.46273,2592679.658843,5979533.04077,16246664.31361,31722465.44762
"5",1994,11848650.48698,29375828.03156,2927026.427043,6840873.32687,16705195.58527,31804412.36028
"6",1995,11110309.85701,27688894.845654,2538858.405766,6156148.41977,16336938.46678,31517393.69109
"7",1996,10961662.71146,26951504.176065,2501180.264983,6182986.23166,16254839.50378,31298847.71521
"8",1997,10873927.93374,26267649.631812,2505202.608269,6265745.79405,16206269.06338,31197229.51703
"9",1998,10758970.46003,25537077.659109,2498073.658153,6314041.50868,16117599.12486,31022339.79013
"10",1999,10663326.01849,24838388.460789,2480395.433884,6373899.87503,16019411.05538,30853238.64616
"11",2000,10467444.09552,23955067.755752,2404741.140562,6324109.23291,15896327.51023,30616066.13554
"12",2001,10301754.7938,23144903.107231,2365127.588821,6286064.53926,15723637.0974,30351477.51307
"13",2002,10169186.78866,22363420.854354,2335610.707985,6275133.16286,15609798.39294,30259965.59121
"14",2003,10016075.76623,21577365.662533,2300969.839677,6231312.86402,15467627.8921,30099007.651
"15",2004,9859305.26485,20829599.12883,2294634.38569,6184259.57744,15288752.17389,29814666.91918
"16",2005,9666674.26115,20052169.70587,2234194.602279,6066245.56755,15087655.04516,29610554.03751
"17",2006,9464282.63142,19268607.008808,2195115.425059,5948395.16066,14847733.61408,29350809.40917
"18",2007,9270492.20617,18503069.923941,2161234.055422,5820598.8182,14607506.29189,29079000.7902
"19",2008,9102790.4839,17795343.309131,2147682.330937,5720457.6714,14391293.59656,28870542.85972
"20",2009,8915332.05466,17078878.776446,2107143.552719,5603897.25958,14158870.39696,28602825.74143
"21",2010,8862964.75978,16533091.919247,2198672.91497,5604571.50963,14039780.08034,28454299.37546
"22",2011,8584413.42377,15754992.90676,2025086.710499,5387667.34413,13771209.07445,28148318.76817
"23",2012,8445828.16871,15104035.625346,1999577.551529,5320075.69368,13632352.50911,27919349.69693
"24",2013,8321502.17092,14534961.244386,1974927.719934,5252384.10997,13493451.66252,27735513.43281
"25",2014,8245264.6466,14031306.867165,1960313.226447,5229465.81325,13441200.76616,27621705.83989
"26",2015,8145535.86964,13499321.5233,1927942.493524,5158705.79036,13365469.84424,27536107.4646
"27",2016,8040656.69865,12973276.936686,1909653.602373,5100299.32366,13251094.07876,27335230.78595
"28",2017,7936786.80443,12389252.861859,1879839.368454,5043534.17599,13154544.00181,27170303.69935
"29",2018,7837552.0725,11840467.313744,1830388.950826,4969653.84337,13083623.37985,27075177.38429
"30",2019,7765785.17861,11380872.287589,1798305.657954,4922515.55226,12998913.2774,26892256.78131
