Symbol,ETF Name,Total Assets,YTD,Avg Volume,Previous Closing Price,1-Day Change,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETF Database Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
SDY,SPDR S&P Dividend ETF,"$24,056,400",2.61%,"696,078",$129.98,0.42%,1.27%,1.21%,5.42%,31.64%,54.70%,"$2,951,400,308.45","$77,185,193.45","$265,249,664.55","$3,086,562,022.10","$1,062,590,757.60","$2,315,496,641.75",All Cap Equities,2005-11-08,0.35%,N/A,$3.41,2021-09-17,$0.85,2.70%,16.87,0.91,121,18.30%,40%,20%,1099,$126.83,$131.77,$128.68,$131.79,58.66,A,A,B+,B,A,A,C+,7.32,7.37%,51.37%,226.91,3.93%,6.30%
DVY,iShares Select Dividend ETF,"$23,164,600",3.03%,"894,428",$123.10,-0.54%,0.83%,0.75%,6.68%,31.19%,49.07%,"$3,271,545,947.15","$171,291,152.75","$425,480,692.05","$3,457,326,042.15","$2,366,474,352.15","$2,115,123,327.15",All Cap Equities,2003-11-03,0.38%,Fidelity,$3.82,2021-09-24,$1.03,3.16%,19.36,0.96,99,20.27%,40%,20%,1099,$120.57,$125.72,$121.88,$124.75,55.70,A,A,B+,B-,A,A,B-,8.34,38.46%,73.97%,624.46,15.91%,4.48%
DFAC,Dimensional U.S. Core Equity 2 ETF,"$16,546,800",-11.64%,"2,168,241",$25.35,0.64%,1.56%,-0.04%,-9.51%,N/A,N/A,"$3,373,450,350.00","$132,132,170.00","$492,912,180.00","$3,492,974,540.00","$4,228,603,849.07","$4,228,603,849.07",All Cap Equities,2021-06-14,0.19%,N/A,$0.14,2021-09-21,$0.08,0.49%,22.51,1.04,2726,16.07%,40%,20%,1099,$24.73,$25.79,$25.07,$25.74,55.48,A,A+,A,B,B,A-,N/A,7.8,27.10%,61.30%,145.15,4.68%,5.56%
VXF,Vanguard Extended Market ETF,"$13,668,300",-23.12%,"452,840",$139.72,0.87%,2.09%,-2.41%,-21.39%,16.48%,34.45%,"$384,611,823.75","$12,241,667.00","$25,788,980.71","-$83,917,019.74","$5,021,283,403.29","$6,469,528,703.31",All Cap Equities,2001-12-27,0.06%,2 Platforms,$2.12,2021-09-24,$0.27,1.07%,17.70,1.24,3659,9.55%,40%,20%,1099,$135.77,$143.52,$137.71,$142.63,52.48,A-,A,A,B,C+,B-,A+,6.44,45.51%,39.44%,134.63,3.15%,7.85%
IWP,iShares Russell Mid-Cap Growth ETF,"$12,281,600",-23.06%,"1,023,777",$88.23,0.90%,2.80%,-0.48%,-21.35%,19.08%,52.11%,"-$386,824,274.95","$104,271,471.20","$33,924,530.05","-$197,731,329.95","-$1,586,448,304.95","-$868,675,589.95",All Cap Equities,2001-07-17,0.23%,TD Ameritrade,$0.32,2021-09-24,$0.13,0.26%,46.48,1.08,399,12.46%,40%,20%,1099,$85.01,$89.59,$87.05,$89.83,55.40,A-,A,A-,A,C,C+,A+,8.4,94.84%,75.36%,106.81,2.21%,8.00%
COWZ,Pacer US Cash Cows 100 ETF,"$10,273,100",3.76%,"1,751,677",$48.23,1.07%,1.34%,-1.79%,7.49%,64.80%,87.26%,"$8,996,194,150.00","$161,740,780.00","$683,181,220.00","$9,091,525,465.00","$9,822,804,270.00","$10,046,450,770.00",All Cap Equities,2016-12-16,0.49%,N/A,$0.67,2021-09-23,$0.19,1.41%,15.34,1.19,101,22.56%,40%,20%,1099,$47.08,$49.68,$47.85,$48.86,54.26,A,A,B,B,B+,A-,N/A,8.45,65.46%,76.54%,394.54,4.62%,5.11%
ARKK,ARK Innovation ETF,"$7,052,240",-62.69%,"25,102,540",$35.29,-0.06%,1.94%,-11.71%,-62.35%,-26.28%,-2.77%,"$1,385,708,750.00","-$39,736,150.00","-$336,180,250.00","$1,491,227,300.00","$15,801,441,550.00","$17,031,471,600.00",All Cap Equities,2014-10-31,0.75%,N/A,$2.04,2020-12-29,$2.04,1.74%,0.00,1.58,31,59.30%,40%,20%,1099,$33.37,$39.06,$33.85,$37.55,46.35,B+,A+,C+,A+,C,B,N/A,7.72,65.49%,59.35%,13.26,3.17%,0.94%
MOAT,VanEck Morningstar Wide Moat ETF,"$6,641,570",-8.88%,"518,245",$69.35,1.51%,3.71%,0.12%,-7.12%,30.90%,73.68%,"$293,079,850.00","$6,818,750.00","$7,262,485.00","$328,754,345.00","$2,756,820,178.00","$4,121,528,547.65",All Cap Equities,2012-04-25,0.47%,N/A,$0.90,2020-12-21,$0.90,1.17%,21.54,1.07,49,29.58%,40%,20%,1099,$66.09,$69.76,$68.38,$70.63,58.22,B+,A,B,A-,B+,B,C,8.6,71.37%,79.32%,23.74,5.17%,4.70%
SPTM,SPDR Portfolio S&P 1500 Composite Stock Market ETF,"$5,716,790",-14.05%,"842,245",$49.64,0.77%,1.91%,0.63%,-12.14%,33.95%,64.45%,"$611,687,105.55","-$53,356,490.25","-$74,777,572.55","$684,074,196.50","$815,152,144.65","$3,560,018,745.95",All Cap Equities,2000-10-04,0.03%,N/A,$0.72,2021-09-20,$0.19,1.26%,21.11,1.02,1526,22.71%,40%,20%,1099,$48.25,$50.29,$49.08,$50.42,55.77,A,A,A+,B-,B,B+,N/A,8.02,41.38%,66.45%,144.96,6.90%,5.88%
DFUS,Dimensional U.S. Equity ETF,"$5,696,910",-14.84%,"255,069",$43.60,0.67%,1.87%,0.46%,-13.03%,N/A,N/A,"$474,942,044.00","$6,882,812.00","$31,236,412.00","$499,367,164.00","$599,494,039.00","$599,494,039.00",All Cap Equities,2021-06-14,0.11%,N/A,$0.24,2021-09-21,$0.13,0.48%,25.55,1.01,2418,22.64%,40%,20%,1099,$42.40,$44.22,$43.12,$44.30,55.36,A,A,A,B,B,A-,N/A,7.92,33.45%,64.09%,146.85,6.65%,5.75%
