Symbol,ETF Name,Total Assets,YTD,Avg Volume,Previous Closing Price,1-Day Change,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETF Database Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
VNQI,Vanguard Global ex-U.S. Real Estate ETF,"$3,772,850",-20.74%,"484,462",$42.76,1.91%,2.47%,2.71%,-19.26%,-19.77%,-11.82%,"$110,576,833.74","$12,474,000.00","$12,497,482.97","$110,608,958.93","-$386,954,743.74","$93,009,513.94",Global Real Estate,2010-11-01,0.12%,Vanguard,$1.11,2021-09-24,$0.60,1.92%,10.70,0.77,682,18.94%,40%,20%,1099,$40.51,$42.74,$42.46,$43.26,61.49,B,A,A,C+,B+,B-,A+,7.94,74.39%,64.56%,83.62,0.00%,26.30%
REET,iShares Global REIT ETF,"$2,990,050",-21.04%,"778,086",$23.63,1.46%,2.83%,2.61%,-17.70%,-3.97%,11.06%,"$214,112,840.00","$18,535,540.00","$92,886,590.00","$257,756,045.00","$1,445,301,760.00","$2,583,031,775.00",Global Real Estate,2014-07-08,0.14%,N/A,$0.63,2021-09-24,$0.18,2.15%,31.35,0.86,349,31.93%,40%,20%,1099,$22.69,$23.64,$23.36,$23.94,58.91,A+,A+,A,A+,B,A-,N/A,6.39,11.32%,38.96%,95.01,0.93%,21.69%
RWO,SPDR Dow Jones Global Real Estate ETF,"$1,225,430",-21.93%,"196,238",$43.08,1.75%,2.84%,2.72%,-19.08%,-6.03%,5.23%,"-$187,256,464.40",$0.00,"$10,447,875.40","-$179,028,988.85","-$631,410,606.35","-$1,338,079,211.45",Global Real Estate,2008-05-07,0.50%,2 Platforms,$1.43,2021-09-20,$0.37,2.60%,31.61,0.85,259,32.17%,40%,20%,1099,$41.30,$43.00,$42.61,$43.61,59.41,A,A-,B+,A,B,A,A-,6.86,23.45%,44.24%,94.78,0.00%,22.97%
HAUZ,DBX ETF Trust - Xtrackers International Real Estate ETF,"$536,047",-20.87%,"130,252",$21.99,1.95%,2.35%,2.66%,-18.99%,-16.62%,-9.33%,"$101,810,100.00","$2,155,250.00","$2,155,250.00","$125,229,150.00","$508,544,550.00","$652,922,000.00",Global Real Estate,2013-10-01,0.10%,N/A,$1.43,2021-06-25,$0.88,4.96%,14.44,0.83,620,17.94%,40%,20%,1099,$20.91,$21.96,$21.88,$22.17,62.83,B-,B+,A+,C,B-,A,N/A,7.96,74.93%,64.80%,99.89,0.01%,24.88%
RWX,SPDR Dow Jones International Real Estate ETF,"$473,895",-20.59%,"182,180",$27.48,2.19%,2.67%,2.77%,-18.35%,-19.28%,-10.94%,"-$175,401,592.40",$0.00,"-$14,905,210.10","-$195,983,873.00","-$1,110,826,482.80","-$2,636,980,114.85",Global Real Estate,2006-12-14,0.59%,TD Ameritrade,$0.95,2021-09-20,$0.28,2.59%,19.26,0.83,144,24.19%,40%,20%,1099,$26.18,$27.34,$27.23,$27.80,62.42,B+,A,B-,B,A+,A-,B+,9.13,95.96%,88.83%,82.26,0.00%,36.36%
GQRE,FlexShares Global Quality Real Estate Index Fund,"$343,759",-23.87%,"26,046",$55.44,1.48%,3.06%,2.70%,-20.79%,-6.10%,1.55%,"$4,139,910.00",$0.00,"-$2,718,245.00","$15,116,265.00","$48,841,855.00","$170,708,700.00",Global Real Estate,2013-11-05,0.45%,N/A,$1.03,2021-09-17,$0.23,1.45%,33.67,0.83,139,39.59%,40%,20%,1099,$53.22,$55.42,$54.99,$56.09,58.71,B-,B,A-,B+,B+,B,N/A,6.43,12.13%,39.31%,59.79,0.00%,15.03%
AVRE,Avantis Real Estate ETF,"$238,906",-21.48%,"92,277",$43.22,2.05%,2.93%,2.78%,-17.95%,N/A,N/A,"$239,912,792.00","$35,330,116.00","$50,577,936.00","$244,216,172.00","$254,713,332.00","$254,713,332.00",Global Real Estate,2021-09-28,0.17%,N/A,$0.00,N/A,N/A,0.00%,0.00,0.00,298,33.54%,40%,20%,1099,$41.38,$43.10,$42.77,$43.73,59.89,N/A,N/A,A,N/A,N/A,B-,N/A,7.37,55.80%,52.23%,88.61,0.67%,19.43%
IFGL,iShares International Developed Real Estate ETF,"$170,596",-22.34%,"38,423",$21.58,2.57%,2.96%,3.30%,-20.65%,-20.12%,-10.13%,"-$37,433,430.00",$0.00,$0.00,"-$40,228,460.00","-$103,933,460.00","-$356,950,460.00",Global Real Estate,2007-11-12,0.48%,Fidelity,$0.75,2021-09-24,$0.32,2.59%,14.83,0.81,269,23.01%,40%,20%,1099,$20.53,$21.43,$21.40,$21.81,62.14,A-,A-,B+,B+,A,B+,A-,8.92,94.61%,85.33%,76.42,0.00%,33.58%
WPS,iShares International Developed Property ETF,"$46,840",-22.81%,"6,574",$28.07,2.26%,3.04%,2.53%,-21.03%,-18.62%,-10.88%,"-$2,947,460.00",$0.00,$0.00,"-$10,165,580.00","-$43,885,630.00","-$59,734,920.00",Global Real Estate,2007-07-30,0.48%,N/A,$1.07,2021-09-24,$0.46,2.81%,14.75,0.81,398,23.04%,40%,20%,1099,$26.77,$27.89,$27.92,$28.29,62.35,B,B-,A-,B,A,B+,A,8.99,95.15%,86.62%,78.39,0.00%,31.64%
SPRE,SP Funds S&P Global REIT Sharia ETF,"$40,917",-25.67%,"19,177",$20.40,1.59%,4.32%,4.47%,-21.60%,N/A,N/A,"$25,219,637.50","$1,995,940.00","$4,445,242.50","$25,898,415.00","$45,538,450.00","$45,538,450.00",Global Real Estate,2020-12-30,0.59%,N/A,$0.67,2021-10-26,$0.07,2.62%,0.00,1.06,42,76.13%,40%,20%,1099,$19.29,$20.38,$20.13,$20.72,58.04,N/A,N/A,C,N/A,N/A,C+,N/A,6.37,48.54%,38.74%,94.7,0.00%,13.57%
