Quarter,WAL,Aaa/AAA,Aa1/AA+,Aa2/AA,Aa3/AA-,A1/A+,A2/A,A3/A-,Baa1/BBB+,Baa2/BBB,Baa3/BBB-
2025Q1,1,9.25,15.47,21.68,28.72,35.76,42.79,50.52,58.25,65.98,106.55
2025Q1,2,18.04,22.86,27.68,34.77,41.86,48.95,57.16,65.38,73.59,110.35
2025Q1,3,26.84,30.26,33.67,40.82,47.96,55.1,63.8,72.5,81.2,114.16
2025Q1,4,35.63,37.65,39.67,46.87,54.06,61.26,70.44,79.63,88.81,117.96
2025Q1,5,34,37.29,40.57,48.93,57.28,65.64,75.56,85.48,95.4,121.26
2025Q1,6,32.38,36.92,41.47,50.99,60.5,70.02,80.68,91.33,101.99,124.55
2025Q1,7,35.24,40.83,46.43,55.73,65.04,74.35,84.98,95.62,106.25,126.68
2025Q1,8,38.1,44.74,51.38,60.48,69.57,78.67,89.29,99.9,110.52,128.82
2025Q1,9,40.97,48.65,56.33,65.22,74.11,83,93.59,104.19,114.78,130.95
2025Q1,10,40.83,48.93,57.03,65.75,74.48,83.2,94.06,104.93,115.79,131.46
2025Q1,11,40.7,49.21,57.72,66.28,74.84,83.4,94.54,105.67,116.81,131.96
2025Q1,12,40.56,49.49,58.42,66.81,75.21,83.61,95.01,106.42,117.82,132.47
2025Q1,13,40.43,49.77,59.11,67.35,75.58,83.81,95.49,107.16,118.84,132.98
2025Q1,14,40.29,50.05,59.81,67.88,75.95,84.01,95.96,107.9,119.85,133.48
2025Q1,15,40.16,50.33,60.51,68.41,76.31,84.22,96.43,108.65,120.86,133.99
2025Q1,16,40.03,50.61,61.2,68.94,76.68,84.42,96.91,109.39,121.88,134.5
2025Q1,17,39.89,50.9,61.9,69.47,77.05,84.62,97.38,110.14,122.89,135.01
2025Q1,18,39.76,51.18,62.6,70.01,77.42,84.83,97.85,110.88,123.91,135.51
2025Q1,19,39.62,51.46,63.29,70.54,77.78,85.03,98.33,111.62,124.92,136.02
2025Q1,20,39.49,51.74,63.99,71.07,78.15,85.23,98.8,112.37,125.94,136.53
2025Q1,21,39.35,52.02,64.68,71.6,78.52,85.44,99.27,113.11,126.95,137.03
2025Q1,22,39.22,52.3,65.38,72.13,78.89,85.64,99.75,113.86,127.96,137.54
2025Q1,23,39.08,52.58,66.08,72.67,79.25,85.84,100.22,114.6,128.98,138.05
2025Q1,24,38.95,52.86,66.77,73.2,79.62,86.05,100.69,115.34,129.99,138.56
2025Q1,25,38.81,53.14,67.47,73.73,79.99,86.25,101.17,116.09,131.01,139.06
2025Q1,26,38.68,53.42,68.17,74.26,80.36,86.45,101.64,116.83,132.02,139.57
2025Q1,27,38.54,53.7,68.86,74.79,80.72,86.65,102.12,117.58,133.04,140.08
2025Q1,28,38.41,53.98,69.56,75.32,81.09,86.86,102.59,118.32,134.05,140.58
2025Q1,29,38.28,54.26,70.25,75.86,81.46,87.06,103.06,119.06,135.07,141.09
2025Q1,30,38.14,54.55,70.95,76.39,81.83,87.26,103.54,119.81,136.08,141.6
2025Q2,1,14.73,19.25,23.76,30.82,37.87,44.93,52.65,60.37,68.1,109.45
2025Q2,2,22.93,25.9,28.87,36.42,43.96,51.51,59.63,67.74,75.86,113.33
2025Q2,3,31.12,32.55,33.98,42.02,50.06,58.1,66.61,75.12,83.63,117.22
2025Q2,4,39.32,39.2,39.09,47.62,56.15,64.68,73.58,82.49,91.39,121.1
2025Q2,5,36.08,39.07,42.07,51.23,60.39,69.55,79.13,88.72,98.3,124.55
2025Q2,6,32.84,38.95,45.06,54.84,64.63,74.41,84.68,94.94,105.21,128.01
2025Q2,7,37.79,43.65,49.52,59.42,69.33,79.23,89.34,99.45,109.55,130.18
2025Q2,8,42.74,48.36,53.97,64,74.03,84.05,94,103.95,113.9,132.35
2025Q2,9,47.69,53.06,58.43,68.58,78.73,88.87,98.66,108.46,118.25,134.53
2025Q2,10,47.41,53.39,59.36,69.26,79.15,89.05,99.11,109.18,119.25,135.02
2025Q2,11,47.13,53.71,60.29,69.94,79.58,89.22,99.56,109.9,120.24,135.52
2025Q2,12,46.85,54.04,61.22,70.61,80.01,89.4,100.01,110.63,121.24,136.02
2025Q2,13,46.57,54.36,62.15,71.29,80.43,89.57,100.46,111.35,122.24,136.52
2025Q2,14,46.29,54.69,63.08,71.97,80.86,89.75,100.91,112.08,123.24,137.02
2025Q2,15,46.01,55.01,64.01,72.65,81.29,89.93,101.36,112.8,124.24,137.52
2025Q2,16,45.73,55.34,64.95,73.33,81.72,90.1,101.81,113.52,125.24,138.02
2025Q2,17,45.45,55.67,65.88,74.01,82.14,90.28,102.26,114.25,126.23,138.52
2025Q2,18,45.17,55.99,66.81,74.69,82.57,90.45,102.71,114.97,127.23,139.02
2025Q2,19,44.89,56.32,67.74,75.37,83,90.63,103.16,115.7,128.23,139.52
2025Q2,20,44.62,56.64,68.67,76.05,83.42,90.8,103.61,116.42,129.23,140.02
2025Q2,21,44.34,56.97,69.6,76.73,83.85,90.98,104.06,117.14,130.23,140.52
2025Q2,22,44.06,57.29,70.53,77.4,84.28,91.15,104.51,117.87,131.23,141.02
2025Q2,23,43.78,57.62,71.46,78.08,84.71,91.33,104.96,118.59,132.22,141.51
2025Q2,24,43.5,57.94,72.39,78.76,85.13,91.5,105.41,119.32,133.22,142.01
2025Q2,25,43.22,58.27,73.32,79.44,85.56,91.68,105.86,120.04,134.22,142.51
2025Q2,26,42.94,58.6,74.25,80.12,85.99,91.85,106.31,120.76,135.22,143.01
2025Q2,27,42.66,58.92,75.18,80.8,86.41,92.03,106.76,121.49,136.22,143.51
2025Q2,28,42.38,59.25,76.11,81.48,86.84,92.2,107.21,122.21,137.22,144.01
2025Q2,29,42.1,59.57,77.05,82.16,87.27,92.38,107.66,122.94,138.21,144.51
2025Q2,30,41.82,59.9,77.98,82.84,87.7,92.55,108.11,123.66,139.21,145.01
2024Q1,1,18.24,28.57,38.9,51.75,64.6,77.44,88.3,99.16,110.01,162.48
2024Q1,2,29.89,37.43,44.96,58.65,72.34,86.02,97.4,108.78,120.15,167.55
2024Q1,3,41.54,46.28,51.03,65.55,80.08,94.6,106.5,118.39,130.29,172.62
