Symbol,ETF Name,Total Assets,YTD,Avg Volume,Previous Closing Price,1-Day Change,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETF Database Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
BND,Vanguard Total Bond Market ETF,"$84,600,300",-11.12%,"7,237,868",$73.66,0.68%,0.68%,2.88%,-11.48%,-5.78%,2.35%,"$12,533,946,000.00","$329,051,000.00","$837,038,000.00","$13,614,073,000.00","$49,152,659,000.00","$58,835,665,000.00",Total Bond Market,2007-04-03,0.03%,2 Platforms,$1.98,2021-11-01,$0.13,2.32%,0.00,0.03,9594,14.32%,40%,20%,1099,$71.12,$74.05,$73.46,$74.00,62.83,A,A,A,A-,C+,B+,A+,6.78,39.87%,43.09%,261.04,2.62%,0.96%
AGG,iShares Core U.S. Aggregate Bond ETF,"$82,223,900",-11.00%,"7,790,660",$99.47,0.67%,0.68%,2.83%,-11.34%,-5.87%,2.25%,"$2,093,062,900.00","$702,321,180.00","$1,943,887,560.00","$2,938,665,540.00","$25,956,978,430.00","$39,283,448,350.00",Total Bond Market,2003-09-22,0.03%,2 Platforms,$2.27,2021-11-01,$0.18,1.98%,0.00,-0.25,10571,8.74%,40%,20%,1099,$96.11,$100.02,$99.19,$99.97,62.57,A,A+,A,A-,C+,B+,A,6.67,25.32%,41.81%,270.52,2.27%,0.85%
BNDX,Vanguard Total International Bond ETF,"$46,038,700",-10.15%,"2,936,880",$49.07,0.02%,-0.49%,1.38%,-11.20%,-8.17%,1.65%,"$5,701,060,969.30","$28,938,623.81","$66,467,083.21","$6,560,466,118.03","$29,119,185,632.51","$43,737,196,293.80",Total Bond Market,2013-06-04,0.07%,Vanguard,$0.64,2021-11-01,$0.04,1.12%,0.00,0.04,6861,4.69%,40%,20%,1099,$48.33,$49.54,$48.97,$49.24,57.57,A,A,A,A,B,B-,N/A,6.61,54.91%,41.16%,83.65,0.85%,0.74%
BSV,Vanguard Short-Term Bond ETF,"$37,429,400",-5.04%,"3,666,109",$75.76,0.38%,0.40%,0.81%,-5.02%,-1.33%,4.63%,"-$1,906,626,000.00","-$52,880,000.00","-$271,409,000.00","-$1,720,316,000.00","$18,378,641,703.22","$16,471,705,703.22",Total Bond Market,2007-04-03,0.04%,3 Platforms,$1.12,2021-11-01,$0.07,1.38%,0.00,-0.01,2604,12.47%,40%,20%,1099,$74.81,$75.81,$75.67,$75.89,62.54,A+,A,A,A-,A-,B,A,6.83,22.45%,43.87%,143.6,1.91%,0.79%
IUSB,iShares Core Total USD Bond Market ETF,"$19,301,500",-11.13%,"2,852,854",$46.04,0.74%,0.77%,2.90%,-11.32%,-5.37%,2.95%,"$5,168,879,470.00","$178,820,090.00","$301,522,090.00","$5,380,676,170.00","$17,682,409,710.00","$19,833,617,680.00",Total Bond Market,2014-06-10,0.06%,N/A,$1.20,2021-11-01,$0.08,2.25%,0.00,0.05,14636,9.60%,40%,20%,1099,$44.46,$46.27,$45.91,$46.25,63.47,A-,A,A,B+,B-,B+,N/A,6.44,42.86%,39.48%,303.27,2.48%,1.09%
BIV,Vanguard Intermediate-Term Bond ETF,"$12,919,400",-11.36%,"1,217,306",$76.08,0.78%,0.48%,2.25%,-11.64%,-4.81%,4.51%,"$550,642,000.00","-$14,772,000.00","$269,932,000.00","$491,011,000.00","$1,613,576,000.00","-$557,441,000.00",Total Bond Market,2007-04-03,0.04%,3 Platforms,$2.88,2021-11-01,$0.14,3.25%,0.00,0.03,2105,22.28%,40%,20%,1099,$73.82,$76.45,$75.89,$76.42,61.34,A,A,A,A+,C+,A,A-,7.08,53.16%,47.55%,222.23,3.19%,1.50%
MINT,PIMCO Enhanced Short Maturity Active ETF,"$8,975,390",-1.24%,"1,322,859",$98.75,0.05%,0.16%,0.55%,-1.21%,0.47%,5.50%,"-$4,357,406,200.00","-$490,657,300.00","-$849,856,000.00","-$4,499,652,500.00","-$4,331,126,100.00","$1,355,745,300.00",Total Bond Market,2009-11-16,0.36%,N/A,$0.50,2021-11-01,$0.03,0.49%,0.00,0.06,555,33.40%,40%,20%,1099,$98.14,$98.82,$98.71,$98.79,74.91,A,A,B,A,A,C+,A+,0.0,N/A,N/A,N/A,N/A,N/A
FTSM,First Trust Enhanced Short Maturity ETF,"$7,342,680",0.76%,"1,574,335",$59.48,0.03%,0.10%,0.38%,0.76%,2.04%,6.79%,"$3,112,662,850.00","$151,536,750.00","$303,032,550.00","$3,145,583,950.00","$2,412,454,100.00","$5,972,503,700.00",Total Bond Market,2014-08-05,0.25%,N/A,$0.27,2021-10-29,$0.01,0.45%,0.00,0.03,377,49.13%,40%,20%,1099,$59.22,$59.49,$59.47,$59.48,87.36,B+,A,B,B,A,C+,N/A,8.56,86.71%,78.53%,456.92,12.15%,2.96%
SCHZ,Schwab U.S. Aggregate Bond ETF,"$6,911,390",-11.08%,"1,061,688",$46.86,0.77%,0.75%,2.90%,-11.30%,-5.90%,2.16%,"-$961,438,000.00","$42,237,000.00","$5,950,000.00","-$885,897,000.00","$814,531,000.00","$2,979,395,501.90",Total Bond Market,2011-07-14,0.03%,Charles Schwab,$1.29,2021-11-01,$0.09,2.39%,0.00,0.04,9142,7.80%,40%,20%,1099,$45.24,$47.09,$46.73,$47.07,62.92,A,A,A,A,C+,A-,A-,6.69,28.48%,42.05%,250.17,2.25%,0.86%
SPAB,SPDR Portfolio Aggregate Bond ETF,"$6,615,380",-11.19%,"3,953,905",$25.73,0.59%,0.63%,2.75%,-11.52%,-6.07%,1.84%,"$1,048,083,926.10","$110,105,526.30","$206,706,677.40","$1,137,044,325.50","$2,818,055,344.40","$6,053,449,132.70",Total Bond Market,2007-05-23,0.03%,N/A,$0.70,2021-11-01,$0.05,2.34%,0.00,-0.27,7023,9.39%,40%,20%,1099,$24.90,$25.89,$25.66,$25.86,62.80,A-,A,A,B,C+,B+,N/A,6.76,36.71%,42.84%,245.7,2.29%,0.88%
