Symbol,ETF Name,Total Assets,YTD,Avg Volume,Previous Closing Price,1-Day Change,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETF Database Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
UUP,Invesco DB US Dollar Index Bullish Fund,"$1,906,510",9.75%,"4,696,322",$28.13,-0.88%,-1.23%,-1.92%,8.90%,7.62%,18.46%,"$1,083,740,100.00","-$71,029,400.00","-$266,767,300.00","$1,186,735,417.71","$1,531,907,213.92","$1,153,505,823.09",Currency,2007-02-20,0.78%,N/A,$0.00,2019-12-23,$0.53,0.00%,0.00,-0.12,3,99.99%,28%,28%,K-1,$28.08,$29.04,$28.05,$28.18,36.92,B,A+,C+,B,A,C+,A,0.0,N/A,N/A,N/A,N/A,N/A
BITO,ProShares Bitcoin Strategy ETF,"$579,910",-61.59%,"8,349,401",$11.10,3.54%,4.62%,8.08%,-62.45%,N/A,N/A,"$177,861,623.44","$215,140.00","$4,071,395.00","$138,130,425.67","$3,264,195,428.17","$3,264,195,428.17",Currency,2021-10-19,0.95%,N/A,$0.00,N/A,N/A,0.00%,0.00,0.00,2,100.00%,40%,20%,1099,$9.63,$11.06,$10.99,$11.23,51.08,N/A,N/A,C,N/A,N/A,B,N/A,0.0,N/A,N/A,N/A,N/A,N/A
USDU,WisdomTree Bloomberg U.S. Dollar Bullish Fund,"$397,319",8.10%,"419,968",$26.43,-1.05%,-1.23%,-1.12%,6.77%,5.36%,12.47%,"$297,520,310.00","-$3,991,045.00","$28,190,030.00","$297,520,310.00","$399,527,870.00","$317,588,775.00",Currency,2013-12-18,0.50%,2 Platforms,$0.17,2020-12-21,$0.17,0.66%,0.00,-0.16,6,100.00%,40%,20%,1099,$26.38,$27.11,$26.31,$26.51,38.65,N/A,N/A,B,N/A,N/A,N/A,N/A,5.81,0.00%,32.90%,0.0,0.00%,0.00%
FXE,Invesco CurrencyShares Euro Trust,"$344,639",-7.27%,"230,542",$98.06,0.90%,1.52%,2.68%,-6.51%,-7.08%,-13.39%,"$67,337,629.42","-$4,844,648.88","-$14,222,413.35","$56,821,305.40","$54,224,302.34","$62,564,756.16",Currency,2005-12-09,0.40%,Charles Schwab,$0.00,2011-12-01,$0.01,0.00%,0.00,0.11,1,100.00%,40%,40%,1099,$94.36,$98.10,$97.86,$98.31,66.29,A,A,A-,A+,A-,B+,C,0.0,N/A,N/A,N/A,N/A,N/A
FXF,Invesco CurrencyShares Swiss Franc Trust,"$214,419",-2.80%,"56,017",$96.00,0.73%,1.24%,1.57%,-1.74%,2.53%,0.82%,"-$17,547,244.96","-$4,751,183.07","-$140,700.37","-$17,547,244.96","$91,086,424.90","$82,694,541.62",Currency,2006-06-21,0.40%,Charles Schwab,$0.00,2008-11-03,$0.08,0.00%,0.00,0.07,1,100.00%,40%,40%,1099,$93.00,$96.07,$95.79,$96.41,64.28,C+,B+,B+,A-,B+,B-,C+,0.0,N/A,N/A,N/A,N/A,N/A
FXY,Invesco Currencyshares Japanese Yen Trust,"$179,963",-15.55%,"86,066",$68.82,1.61%,0.97%,2.64%,-16.69%,-20.83%,-18.60%,"$37,935,033.12","-$6,831,930.16","-$6,831,930.16","$21,428,486.03","$54,625,331.86","$134,762,104.75",Currency,2007-02-12,0.40%,Charles Schwab,$0.00,N/A,N/A,0.00%,0.00,-0.06,1,100.00%,40%,40%,1099,$65.63,$69.50,$68.65,$69.11,62.49,C,A,A-,C,B-,B,C,0.0,N/A,N/A,N/A,N/A,N/A
FXB,Invesco CurrencyShares British Pound Sterling Trust,"$105,990",-8.41%,"61,348",$118.80,0.79%,1.93%,4.37%,-6.27%,-6.77%,-7.96%,"-$28,812,297.35","-$5,872,404.30","-$5,872,404.30","-$28,812,297.35","-$53,138,779.95","-$114,462,221.88",Currency,2006-06-21,0.40%,Charles Schwab,$0.00,2009-03-02,$0.01,0.00%,0.00,0.26,1,100.00%,40%,40%,1099,$112.60,$119.36,$118.55,$119.27,65.03,B,A-,A,B,A-,B,B-,0.0,N/A,N/A,N/A,N/A,N/A
FXC,Invesco CurrencyShares Canadian Dollar Trust,"$103,674",-6.61%,"44,855",$72.14,0.54%,0.80%,-1.89%,-5.30%,-3.14%,-4.37%,"-$27,183,294.69",$0.00,"$3,528,017.83","-$54,040,837.85","-$53,937,731.89","-$106,834,780.73",Currency,2006-06-21,0.40%,Charles Schwab,$0.00,2020-03-02,$0.06,0.00%,0.00,0.26,1,100.00%,40%,40%,1099,$71.31,$73.67,$72.06,$72.26,48.64,A-,A-,A+,B,A,B+,C+,0.0,N/A,N/A,N/A,N/A,N/A
BITI,ProShares Short Bitcoin Strategy ETF,"$97,928",N/A,"919,405",$37.57,-3.69%,-4.77%,-8.81%,N/A,N/A,N/A,"$55,655,736.00",$0.00,"$23,639,115.00","$55,655,736.00","$55,655,736.00","$55,655,736.00",Currency,2022-06-21,0.95%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,100.00%,40%,20%,1099,$37.53,$43.73,$37.13,$37.97,44.95,N/A,N/A,C+,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
UDN,Invesco DB US Dollar Index Bearish Fund,"$91,721",-8.45%,"226,017",$18.53,0.98%,1.37%,2.26%,-7.81%,-8.94%,-13.59%,"$46,536,700.00","$1,826,300.00","-$3,480,100.00","$40,490,605.98","$63,832,827.08","$63,865,236.88",Currency,2007-02-20,0.77%,N/A,$0.00,2019-12-23,$0.28,0.00%,0.00,0.12,6,99.99%,28%,28%,K-1,$17.87,$18.55,$18.49,$18.59,64.81,B-,B+,C+,B+,A-,B-,A,0.0,N/A,N/A,N/A,N/A,N/A
FXA,Invesco CurrencyShares Australian Dollar Trust,"$76,738",-5.98%,"11,235",$67.75,1.42%,2.32%,1.18%,-4.19%,-1.88%,-9.01%,"-$16,400,189.55",$0.00,$0.00,"-$27,103,874.01","-$10,166,066.50","-$28,016,468.71",Currency,2006-06-21,0.40%,Charles Schwab,$0.00,2020-03-02,$0.01,0.00%,0.00,0.38,1,100.00%,40%,40%,1099,$65.42,$67.76,$67.61,$68.01,59.62,B+,A,A,C+,B+,A,B-,0.0,N/A,N/A,N/A,N/A,N/A
DBV,Invesco DB G10 Currency Harvest Fund,"$38,836",4.04%,"20,471",$25.75,-0.19%,0.77%,0.26%,4.46%,6.98%,11.76%,"$10,482,200.00",$0.00,"-$2,577,200.00","$10,482,200.00","$13,695,475.66","-$453,370.54",Currency,2006-09-18,0.77%,TD Ameritrade,$0.00,2019-12-23,$0.34,0.00%,0.00,0.24,6,100.00%,28%,28%,K-1,$25.46,$26.41,$25.52,$26.00,44.78,B+,A,B-,A,A-,C,A,0.0,N/A,N/A,N/A,N/A,N/A
CYB,WisdomTree Chinese Yuan Strategy Fund,"$27,641",-5.96%,"4,415",$25.11,0.36%,-0.10%,1.16%,-5.86%,6.84%,8.33%,"-$6,493,810.00",$0.00,$0.00,"-$6,493,810.00","$1,658,985.00","-$10,015,385.00",Currency,2008-05-14,0.45%,E*TRADE,$0.11,2020-12-21,$0.11,0.40%,0.00,0.11,1,100.00%,40%,20%,1099,$24.12,$25.39,$25.07,$25.15,58.37,A+,A-,B+,A,A+,A-,A-,5.81,0.00%,32.90%,0.0,0.00%,0.00%
XBTF,VanEck Bitcoin Strategy ETF,"$21,518",-62.65%,"21,232",$17.81,3.67%,4.67%,9.00%,-61.41%,N/A,N/A,"$28,900,080.00",$0.00,"-$33,830.00","$31,268,855.00","$39,954,565.00","$39,954,565.00",Currency,2021-11-15,0.65%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,99.99%,40%,20%,1099,$15.37,$17.79,$17.68,$17.99,51.62,N/A,N/A,B-,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
BTF,Valkyrie Bitcoin Strategy ETF,"$19,907",-60.87%,"280,074",$7.00,3.70%,4.96%,9.05%,-61.62%,N/A,N/A,"-$27,460,237.50",$0.00,$0.00,"-$2,562,822.50","$62,411,617.50","$62,411,617.50",Currency,2021-10-22,0.95%,N/A,$0.00,N/A,N/A,0.00%,0.00,0.00,4,100.00%,40%,20%,1099,$6.05,$6.97,$6.94,$7.07,51.65,N/A,N/A,C,N/A,N/A,B,N/A,0.0,N/A,N/A,N/A,N/A,N/A
CEW,WisdomTree Emerging Currency Strategy Fund,"$8,397",-2.01%,"1,166",$16.91,0.77%,0.98%,1.74%,-1.46%,-7.44%,-6.99%,"-$5,066,650.00",$0.00,$0.00,"-$5,066,650.00","-$8,452,030.00","-$42,178,300.00",Currency,2009-05-06,0.55%,E*TRADE,$0.12,2020-12-21,$0.12,0.66%,0.00,0.25,4,100.00%,40%,20%,1099,$16.29,$17.01,$16.89,$16.93,65.22,A,A-,B,B+,A,A,A-,5.81,0.00%,32.90%,0.0,0.00%,0.00%
